city,rank,total_score,life_quality,family_score,cost,internet,fun,air,crime,racism,Education,income,speak_english,walkability,traffic_safety,happiness,nightlife,free_wifi,coworking_places,ac_heating,foreigner frendly,speech_freedom,female_frendly,lgbtq_plus_friendly,startup_score,lat,long,country
Darmstadt,688,3.0,4.0,3.0,2688.0,28.0,3.0,26.0,5.0,3.0,4.0,3538.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,49.872775,8.651177, Deutschland
Elgin IL,689,3.0,3.0,3.0,3739.0,57.0,3.0,36.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,42.03726,-88.2810994, United States
Eindhoven,690,3.0,4.0,4.0,3893.0,54.0,3.0,16.0,5.0,4.0,4.0,3813.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,3.0,51.4392648,5.478633, Nederland
Dortmund,691,3.0,4.0,3.0,3333.0,29.0,4.0,14.0,5.0,3.0,4.0,3538.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,51.5142273,7.4652789, Deutschland
Dededo,692,3.0,4.0,3.0,3371.0,6.0,5.0,14.0,4.0,5.0,4.0,0.0,5.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,3.0,3.0,13.519054,144.83783877764978, United States
Hagatna,693,3.0,4.0,3.0,3367.0,8.0,5.0,14.0,4.0,5.0,4.0,0.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,3.0,3.0,13.4727446,144.75201822544284, United States
Norwich,694,3.0,4.0,4.0,4051.0,24.0,3.0,49.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,52.628606,1.29227, United Kingdom
Huainan,695,3.0,3.0,2.0,1130.0,2.0,3.0,104.0,5.0,2.0,3.0,677.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,32.5866826,117.0130019, 中国
Mui Ne,696,3.0,3.0,2.0,832.0,11.0,3.0,104.0,4.0,3.0,2.0,181.0,2.0,5.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,2.0,3.0,2.0,2.0,10.9428763,108.2830253, Việt Nam
Bend OR,697,3.0,4.0,3.0,3781.0,46.0,3.0,25.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,44.0581728,-121.3153096, United States
Shanghai,698,3.0,4.0,3.0,2224.0,2.0,5.0,87.0,5.0,4.0,3.0,677.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,31.2322758,121.4692071, 中国
Lilongwe,699,3.0,3.0,2.0,1721.0,1.0,2.0,87.0,4.0,2.0,2.0,25.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,-13.9875107,33.768144, Malawi
Klaipeda,700,3.0,3.0,3.0,2202.0,40.0,3.0,93.0,3.0,3.0,4.0,1226.0,3.0,5.0,3.0,3.0,2.0,2.0,5.0,2.0,2.0,4.0,3.0,2.0,2.0,55.7127529,21.1350469, Lietuva
Gaziantep,701,3.0,3.0,2.0,606.0,11.0,3.0,26.0,4.0,2.0,3.0,905.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,2.0,3.0,2.0,2.0,37.0628317,37.3792617, Türkiye
Macau,702,3.0,3.0,3.0,2588.0,5.0,5.0,81.0,5.0,2.0,3.0,6099.0,3.0,5.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,2.0,3.0,22.1757605,113.5514142, 中国
Kozhikode,703,3.0,3.0,2.0,1034.0,10.0,3.0,151.0,4.0,2.0,2.0,142.0,3.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,3.0,2.0,2.0,2.0,11.2450558,75.7754716, India
Fort Myers FL,704,3.0,4.0,4.0,3834.0,42.0,3.0,29.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,26.640628,-81.8723084, United States
Johnson City TN,705,3.0,3.0,3.0,3577.0,38.0,3.0,30.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,36.3134398,-82.3534728, United States
Hartford CT,706,3.0,3.0,4.0,3626.0,40.0,2.0,31.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,41.3403944,-72.0243982, United States
Stockton CA,707,3.0,4.0,3.0,2588.0,41.0,3.0,35.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,37.9577016,-121.2907796, United States
Coventry,708,3.0,4.0,4.0,3553.0,26.0,2.0,37.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,5.0,3.0,52.4081812,-1.510477, United Kingdom
Palm Bay FL,709,3.0,4.0,3.0,3469.0,40.0,3.0,28.0,4.0,4.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,5.0,3.0,27.9946969,-80.6366144, United States
San Jose CA,710,3.0,4.0,4.0,3927.0,60.0,2.0,50.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,37.3361905,-121.890583, United States
Yuba City CA,711,3.0,3.0,3.0,3291.0,81.0,3.0,40.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,39.1404477,-121.6169108, United States
Galway,712,3.0,4.0,4.0,4138.0,21.0,4.0,60.0,5.0,5.0,4.0,5375.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,3.0,53.2744122,-9.0490601, Éire / Ireland
Tomsk,713,3.0,3.0,2.0,1509.0,18.0,2.0,60.0,2.0,2.0,4.0,721.0,2.0,5.0,2.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,2.0,2.0,58.6124279,82.0475315, Россия
Pai,714,3.0,4.0,3.0,1596.0,19.0,2.0,24.0,4.0,2.0,3.0,493.0,2.0,5.0,2.0,4.0,2.0,3.0,5.0,2.0,5.0,3.0,3.0,3.0,2.0,-5.0875829,119.5156332, Indonesia
Yakima WA,715,3.0,3.0,3.0,3690.0,46.0,3.0,25.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,2.0,5.0,4.0,3.0,5.0,3.0,46.601557,-120.510842, United States
Boumerdas,716,3.0,3.0,2.0,1342.0,4.0,2.0,72.0,4.0,2.0,3.0,326.0,2.0,5.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,36.77101545,3.509589562138503, Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
Southampton,717,3.0,4.0,4.0,3898.0,26.0,4.0,36.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,50.9025349,-1.404189, United Kingdom
Antwerp,718,3.0,4.0,3.0,3461.0,56.0,4.0,37.0,4.0,2.0,4.0,3433.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,51.2211097,4.3997081, België / Belgique / Belgien
Samara,719,3.0,3.0,2.0,1279.0,17.0,2.0,37.0,2.0,2.0,4.0,721.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,53.198627,50.113987, Россия
Ghent,720,3.0,4.0,3.0,3064.0,41.0,3.0,41.0,4.0,2.0,4.0,3433.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,51.0538286,3.7250121, België / Belgique / Belgien
Mbuji-Mayi,721,3.0,2.0,2.0,1627.0,2.0,2.0,41.0,2.0,2.0,2.0,43.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,-6.1258942,23.5998111, République démocratique du Congo
Victoria TX,722,3.6,4.0,4.0,3292.0,25.0,2.0,27.0,4.0,5.0,4.0,3513.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,3.0,28.8026443,-96.9766308, United States
Verdi NV,723,3.0,4.0,3.0,3690.0,13.0,3.0,14.0,4.0,4.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,39.5182427,-119.9888113, United States
Banjul,724,3.0,2.0,2.0,836.0,3.0,2.0,14.0,3.0,2.0,1.0,40.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,13.4410165,-16.56275092072591, Gambia
Huddersfield,725,3.0,4.0,3.0,3463.0,26.0,3.0,34.0,5.0,3.0,4.0,3354.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,3.0,53.6466645,-1.7822482, United Kingdom
Conakry,726,3.0,2.0,2.0,1479.0,1.0,2.0,34.0,3.0,3.0,1.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,9.5170602,-13.6998434, Guinée
Astana,727,3.0,3.0,2.0,1183.0,10.0,2.0,65.0,4.0,3.0,4.0,642.0,2.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,51.1282205,71.4306682, Қазақстан
Fort Collins CO,728,3.0,4.0,4.0,3876.0,68.0,3.0,28.0,4.0,5.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,40.5508527,-105.0668085, United States
Beaverton OR,729,3.0,4.0,4.0,3829.0,44.0,3.0,16.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,45.4871723,-122.80378, United States
Daegu,730,3.0,4.0,3.0,1913.0,26.0,3.0,78.0,5.0,3.0,4.0,2315.0,2.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,35.8713,128.6018, 대한민국
Greeley CO,731,3.0,4.0,3.0,3621.0,65.0,3.0,35.0,4.0,5.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,38.4570355,-101.8185007, United States
Mountain View CA,732,3.0,4.0,3.0,3917.0,44.0,4.0,16.0,4.0,2.0,4.0,4817.0,5.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,3.0,37.3893889,-122.0832101, United States
Joao Pessoa,733,3.0,3.0,2.0,1098.0,11.0,2.0,16.0,1.0,2.0,3.0,721.0,2.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,2.0,-7.1215981,-34.882028, Brasil
Chania Crete,734,3.0,4.0,3.0,3642.0,14.0,3.0,16.0,5.0,2.0,4.0,1436.0,3.0,5.0,3.0,3.0,2.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,35.5120831,24.0191544, Ελλάς
Abu Dhabi,735,3.0,3.0,3.0,3693.0,13.0,5.0,77.0,5.0,3.0,3.0,3135.0,3.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,24.4538352,54.3774014, الإمارات العربية المتحدة
Logan UT,736,3.0,3.0,3.0,3748.0,81.0,3.0,25.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,41.7313447,-111.8348631, United States
Elkhart IN,737,3.0,3.0,3.0,3700.0,60.0,3.0,27.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,41.6819935,-85.9766671, United States
Managua,738,3.0,3.0,2.0,1171.0,8.0,2.0,27.0,2.0,4.0,2.0,179.0,2.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,12.1459907,-86.2746665, Nicaragua
Santa Fe NM,739,3.0,4.0,3.0,3345.0,38.0,4.0,14.0,4.0,3.0,4.0,4817.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,35.6876096,-105.9384569, United States
Tarifa,740,3.0,4.0,3.0,3116.0,23.0,3.0,23.0,5.0,3.0,4.0,2225.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,36.0127749,-5.6048873, España
Bologna,741,3.0,4.0,3.0,2636.0,16.0,3.0,53.0,5.0,2.0,4.0,2607.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,44.4938203,11.3426327, Italia
Auburn AL,742,3.0,3.0,3.0,3612.0,50.0,3.0,28.0,4.0,3.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,33.576353,-86.767638, United States
Vineland NJ,743,3.0,3.0,3.0,3549.0,77.0,3.0,32.0,4.0,3.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,5.0,3.0,39.4862777,-75.0254256, United States
Krivoy-Rog,744,3.0,3.0,2.0,896.0,21.0,2.0,35.0,4.0,2.0,4.0,175.0,2.0,5.0,3.0,2.0,2.0,2.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,47.9102734,33.3917703, Україна
Lake Havasu City AZ,745,3.0,4.0,3.0,3947.0,61.0,3.0,35.0,4.0,5.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,34.4838502,-114.3224495, United States
Waukegan IL,746,3.0,3.0,3.0,3716.0,47.0,3.0,24.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,42.3636331,-87.8447938, United States
Hua Hin,747,3.0,3.0,2.0,1272.0,24.0,2.0,24.0,4.0,3.0,3.0,493.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,2.0,3.0,3.0,3.0,2.0,2.0,12.5672395,99.954586, ประเทศไทย
Marseille,748,3.0,4.0,3.0,3040.0,27.0,3.0,33.0,4.0,3.0,4.0,3069.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,43.2961743,5.3699525, France
Chachapoyas,749,3.0,3.0,2.0,877.0,15.0,2.0,33.0,3.0,3.0,3.0,504.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,-6.3718272,-77.8093378, Perú
Curitiba,751,3.0,3.0,3.0,2112.0,13.0,3.0,77.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,2.0,3.0,5.0,2.0,4.0,3.0,2.0,5.0,2.0,-25.4295963,-49.2712724, Brasil
Varkala,752,3.0,3.0,2.0,904.0,10.0,2.0,60.0,4.0,2.0,2.0,142.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,8.7342288,76.7257086, India
Port Harcourt,753,3.0,2.0,2.0,1844.0,5.0,2.0,60.0,3.0,2.0,2.0,181.0,3.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,4.7676576,7.0188527, Nigeria
Tebessa,754,3.0,3.0,2.0,1472.0,5.0,2.0,60.0,4.0,2.0,3.0,326.0,2.0,5.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,35.124945,7.901173504229375, Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
Oxford,755,3.0,4.0,4.0,4091.0,24.0,4.0,32.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,51.7520131,-1.2578499, United Kingdom
Heidelberg,756,3.0,4.0,3.0,3082.0,31.0,3.0,25.0,5.0,3.0,4.0,3538.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,3.0,49.4093582,8.694724, Deutschland
Dili,757,3.0,3.0,3.0,1798.0,0.0,2.0,25.0,4.0,2.0,2.0,177.0,2.0,3.0,3.0,4.0,2.0,2.0,5.0,3.0,3.0,3.0,2.0,4.0,2.0,-8.5536809,125.5784093, Timór Lorosa'e
Wilmington NC,758,3.0,4.0,3.0,3960.0,53.0,3.0,21.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,34.2257282,-77.9447107, United States
Fairfax VA,759,3.0,4.0,4.0,3878.0,58.0,2.0,106.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,38.8462236,-77.3063733, United States
Galveston TX,760,3.0,4.0,4.0,3822.0,43.0,3.0,33.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,29.299328,-94.7945882, United States
Chandigarh,761,3.0,3.0,2.0,1132.0,9.0,3.0,179.0,4.0,2.0,2.0,142.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,30.7334421,76.7797143, India
Daejeon,762,3.0,4.0,3.0,1901.0,26.0,3.0,71.0,5.0,3.0,4.0,2315.0,2.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,36.3496,127.3848, 대한민국
Lusaka,763,3.0,3.0,2.0,1191.0,3.0,2.0,71.0,3.0,2.0,3.0,106.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,-15.4164488,28.2821535, Zambia
Chelyabinsk,764,3.0,3.0,2.0,1252.0,18.0,2.0,71.0,2.0,2.0,4.0,721.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,55.1598408,61.4025547, Россия
Bucaramanga,765,3.0,3.0,2.0,758.0,9.0,3.0,129.0,1.0,3.0,3.0,484.0,2.0,5.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,7.1114611,-73.1172869, Colombia
Bristol,766,3.0,4.0,4.0,4348.0,26.0,5.0,39.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,3.0,5.0,4.0,51.4538022,-2.5972985, United Kingdom
Marbella,767,3.0,4.0,3.0,2981.0,37.0,4.0,31.0,5.0,3.0,4.0,2225.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,36.508976,-4.88562, España
Waterloo,769,3.0,4.0,4.0,3852.0,48.0,3.0,26.0,4.0,5.0,4.0,3513.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,42.4979693,-92.3329637, United States
Hof,771,3.0,3.0,3.0,3382.0,54.0,3.0,27.0,5.0,3.0,4.0,3538.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,50.3219015,11.9178807, Deutschland
Oakland CA,772,3.0,4.0,3.0,3755.0,67.0,3.0,39.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,37.8044557,-122.2713563, United States
Chifeng,773,3.0,3.0,2.0,1258.0,2.0,2.0,74.0,5.0,2.0,3.0,677.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,42.2799929,118.9426131, 中国
Bath,774,3.0,4.0,4.0,3598.0,26.0,3.0,39.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,51.3813864,-2.3596963, United Kingdom
Panama City,775,3.0,4.0,3.0,3776.0,15.0,3.0,91.0,2.0,4.0,3.0,1140.0,2.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,30.1600827,-85.6545729, United States
Kazan,776,3.0,3.0,2.0,2205.0,18.0,2.0,91.0,2.0,2.0,4.0,721.0,2.0,5.0,2.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,55.7823547,49.1242266, Россия
Limassol,777,3.0,4.0,3.0,3324.0,12.0,5.0,32.0,4.0,3.0,4.0,1969.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,34.6852901,33.0332657, Κύπρος - Kıbrıs
Punta del Este,778,3.0,3.0,3.0,1858.0,17.0,3.0,32.0,3.0,2.0,3.0,1268.0,2.0,3.0,2.0,4.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,2.0,-34.9632342,-54.9439981, Uruguay
Port Orange FL,779,3.0,4.0,4.0,3689.0,36.0,3.0,29.0,4.0,4.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,29.10162805,-81.01059617608054, United States
Nuuk,780,3.0,3.0,3.0,2577.0,6.0,4.0,29.0,2.0,3.0,4.0,3372.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,64.175029,-51.7355386, Kalaallit Nunaat
Aalborg,781,3.0,4.0,4.0,3761.0,51.0,3.0,76.0,5.0,5.0,4.0,4478.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,3.0,57.0462626,9.9215263, Danmark
Taichung,782,3.0,4.0,3.0,1896.0,21.0,2.0,121.0,5.0,3.0,4.0,2048.0,2.0,5.0,3.0,4.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,2.0,24.163162,120.6478282, 臺灣
Princeton NJ,783,3.0,3.0,3.0,3868.0,60.0,3.0,29.0,4.0,3.0,4.0,4817.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,40.34833555,-74.6684230570877, United States
Virginia Beach VA,784,3.0,4.0,3.0,3579.0,74.0,4.0,25.0,4.0,3.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,36.8529841,-75.9774183, United States
Lelystad,785,3.0,4.0,3.0,3424.0,43.0,3.0,13.0,5.0,3.0,4.0,3813.0,4.0,5.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,3.0,52.5150949,5.4768915, Nederland
Aurangabad,786,3.0,3.0,2.0,2359.0,8.0,3.0,72.0,4.0,2.0,2.0,142.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,19.877263,75.3390241, India
Rabat,787,3.0,3.0,2.0,2296.0,8.0,4.0,72.0,4.0,2.0,2.0,245.0,2.0,3.0,2.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,4.0,2.0,2.0,34.022405,-6.834543, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
Hesperia CA,788,3.0,4.0,3.0,3506.0,52.0,3.0,55.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,34.4263886,-117.3008784, United States
Reading,789,3.0,4.0,3.0,4214.0,24.0,3.0,29.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,51.456659,-0.9696512, United Kingdom
Manama,790,3.0,4.0,3.0,2042.0,9.0,4.0,147.0,5.0,5.0,3.0,1882.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,2.0,3.0,17.1750495,95.9999652, မြန်မာ
Kananga,791,3.0,2.0,2.0,1482.0,3.0,2.0,147.0,2.0,2.0,2.0,43.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,-5.8951725,22.408589, République démocratique du Congo
Lublin,792,2.9,3.0,3.0,1177.0,33.0,3.0,57.0,5.0,2.0,4.0,1028.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,3.0,3.0,51.250559,22.5701022, Polska
Fort McMurray,793,2.9,4.0,3.0,3687.0,26.0,2.0,21.0,4.0,5.0,4.0,3513.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,56.7291997,-111.3885221, Canada
Essaouira,794,2.9,3.0,2.0,1649.0,7.0,2.0,21.0,4.0,5.0,2.0,245.0,2.0,5.0,2.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,31.5118281,-9.7620903, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
Philadelphia PA,795,2.9,4.0,4.0,3859.0,62.0,4.0,35.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,39.9527237,-75.1635262, United States
Quanzhou,796,2.9,3.0,2.0,1487.0,1.0,3.0,75.0,5.0,2.0,3.0,677.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,2.0,2.0,24.8755492,118.6723605, 中国
Lawrence KS,797,2.9,3.0,3.0,3869.0,42.0,3.0,26.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,5.0,3.0,38.9719384,-95.2359496, United States
Yekaterinburg,798,2.9,3.0,2.0,1635.0,18.0,3.0,26.0,2.0,2.0,4.0,721.0,2.0,5.0,2.0,3.0,3.0,2.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,56.839104,60.60825, Россия
Brentwood CA,799,2.9,4.0,3.0,3612.0,76.0,3.0,35.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,2.0,4.0,4.0,5.0,3.0,37.9317766,-121.696026, United States
Ouagadougou,800,2.9,2.0,2.0,1499.0,0.0,2.0,35.0,5.0,2.0,1.0,52.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,12.3681873,-1.5270944, Burkina Faso
Zhangzhou,801,2.9,3.0,2.0,1472.0,2.0,2.0,101.0,5.0,2.0,3.0,677.0,2.0,5.0,2.0,3.0,2.0,2.0,5.0,3.0,2.0,4.0,3.0,2.0,2.0,24.5164639,117.6424895, 中国
