city,rank,total_score,life_quality,family_score,cost,internet,fun,air,crime,racism,Education,income,speak_english,walkability,traffic_safety,happiness,nightlife,free_wifi,coworking_places,ac_heating,foreigner frendly,speech_freedom,female_frendly,lgbtq_plus_friendly,startup_score,lat,long,country
Gothenburg,245,3.4,4.0,4.0,2750.0,30.0,5.0,36.0,4.0,4.0,4.0,4224.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,57.7072326,11.9670171, Sverige
Osijek,246,3.4,3.0,3.0,1421.0,19.0,2.0,21.0,5.0,2.0,4.0,1013.0,4.0,5.0,3.0,3.0,2.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,45.5548719,18.6953719, Hrvatska
Laredo TX,247,3.4,4.0,3.0,2335.0,51.0,3.0,30.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,27.5236998,-99.497352, United States
Fortaleza,248,3.3,3.0,3.0,840.0,16.0,4.0,30.0,1.0,4.0,3.0,721.0,3.0,5.0,2.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,-3.7304512,-38.5217989, Brasil
Siargao,249,3.3,3.0,3.0,1825.0,9.0,4.0,30.0,3.0,2.0,3.0,246.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,9.9051382,126.051188786244, Luzon
Louisville KY,250,3.3,4.0,4.0,2722.0,57.0,3.0,39.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,38.2542376,-85.759407, United States
Craiova,251,3.3,3.0,3.0,1312.0,28.0,2.0,12.0,4.0,2.0,4.0,787.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,44.3190159,23.7965614, România
La Union,252,3.3,3.0,3.0,1621.0,8.0,4.0,48.0,3.0,2.0,3.0,246.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,16.5735957,120.4089899, Luzon
Boracay,253,3.3,3.0,3.0,1277.0,9.0,2.0,48.0,3.0,3.0,3.0,246.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,3.0,2.0,2.0,11.9477338,121.9392632, Luzon
Zadar,254,3.3,3.0,3.0,2156.0,19.0,2.0,48.0,5.0,2.0,4.0,1013.0,4.0,5.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,44.1168594,15.2353257, Hrvatska
Arugam Bay,255,3.3,3.0,2.0,613.0,10.0,4.0,48.0,4.0,2.0,4.0,326.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,6.8393788,81.8327629, ශ්‍රී ලංකාව இலங்கை
Chittagong,256,3.3,3.0,2.0,986.0,6.0,3.0,192.0,4.0,2.0,2.0,113.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,22.3364709,91.8260479, বাংলাদেশ
Kotor,257,3.3,4.0,3.0,2053.0,15.0,3.0,192.0,4.0,2.0,4.0,580.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,42.4248515,18.7710437, Crna Gora / Црна Гора
Owensboro KY,258,3.3,3.0,3.0,2641.0,44.0,3.0,35.0,4.0,3.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,37.7742152,-87.1133304, United States
Nuremberg,259,3.3,4.0,4.0,2606.0,28.0,4.0,14.0,5.0,4.0,4.0,3538.0,4.0,5.0,3.0,4.0,3.0,2.0,5.0,2.0,4.0,5.0,5.0,5.0,3.0,49.453872,11.077298, Deutschland
Malaga,260,3.3,4.0,3.0,2866.0,29.0,3.0,22.0,5.0,2.0,4.0,2225.0,2.0,5.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,36.7213028,-4.4216366, España
Columbus OH,261,3.3,4.0,3.0,3173.0,56.0,3.0,26.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,3.0,39.9622601,-83.0007065, United States
Georgetown,262,3.3,3.0,2.0,1058.0,2.0,3.0,26.0,2.0,2.0,3.0,370.0,4.0,5.0,2.0,4.0,3.0,2.0,5.0,3.0,2.0,4.0,2.0,2.0,3.0,6.8137426,-58.1624465, Guyana
Montpellier,263,3.3,4.0,3.0,3144.0,27.0,3.0,51.0,4.0,3.0,4.0,3069.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,3.0,43.6112422,3.8767337, France
Faro Algarve,264,3.3,4.0,3.0,2347.0,37.0,2.0,59.0,5.0,3.0,3.0,1646.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,37.0147217,-7.9347837, Portugal
Visakhapatnam,265,3.3,3.0,2.0,969.0,11.0,3.0,59.0,4.0,2.0,2.0,142.0,3.0,5.0,2.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,17.7231276,83.3012842, India
Salta,266,3.3,4.0,3.0,555.0,14.0,4.0,59.0,3.0,4.0,4.0,1037.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,2.0,-25.1076701,-64.3494964, Argentina
Peoria IL,267,3.3,3.0,3.0,2515.0,43.0,3.0,33.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,40.6938609,-89.5891008, United States
Conroe TX,269,3.3,4.0,4.0,2799.0,57.0,3.0,31.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,30.3118769,-95.4560512, United States
Liverpool,270,3.3,4.0,4.0,2945.0,26.0,4.0,20.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,53.4071991,-2.99168, United Kingdom
Clarksville TN,271,3.3,3.0,3.0,2539.0,42.0,3.0,34.0,4.0,4.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,5.0,3.0,36.5277607,-87.3588703, United States
Brisbane,272,3.3,4.0,4.0,3465.0,22.0,2.0,34.0,5.0,4.0,5.0,4506.0,5.0,5.0,3.0,5.0,3.0,2.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,-27.4689682,153.0234991, Australia
Buffalo NY,273,3.3,4.0,4.0,2867.0,32.0,4.0,31.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,42.8867166,-78.8783922, United States
Cleveland OH,274,3.3,4.0,3.0,2911.0,43.0,3.0,33.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,3.0,41.5051613,-81.6934446, United States
Madison WI,275,3.3,4.0,3.0,3183.0,52.0,4.0,28.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,43.074761,-89.3837613, United States
Kennewick WA,276,3.3,4.0,3.0,2863.0,43.0,3.0,19.0,4.0,5.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,46.2087066,-119.1199192, United States
La Plata,277,3.3,4.0,3.0,799.0,14.0,5.0,41.0,3.0,4.0,4.0,1037.0,3.0,5.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,-34.9206797,-57.9537638, Argentina
