,rank,city,total_score,life_quality,family_score,cost,internet,fun,air,crime,racism,Education,income,speak_english,walkability,traffic_safety,happiness,nightlife,free_wifi,coworking_places,ac_heating,foreigner frendly,speech_freedom,female_frendly,lgbtq_plus_friendly,startup_score,lat,long
35,38,Florianopolis,4.0,4.0,3.0,1193.0,11.0,5.0,38.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,3.0,2.0,5.0,2.0,5.0,3.0,2.0,5.0,2.0,-27.5973002,-48.5496098
36,39,Bengaluru,4.0,3.0,3.0,691.0,24.0,2.0,92.0,4.0,2.0,2.0,142.0,4.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,12.9767936,77.590082
37,40,Atlanta GA,4.0,4.0,4.0,2992.0,37.0,4.0,37.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,33.7489924,-84.3902644
38,41,Bucharest,4.0,4.0,3.0,1624.0,57.0,4.0,32.0,4.0,2.0,4.0,787.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,3.0,44.4361414,26.1027202
39,42,Chiang Mai,4.0,4.0,3.0,1017.0,21.0,4.0,58.0,4.0,2.0,3.0,493.0,2.0,5.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,18.7882778,98.9858802
40,43,Sydney,4.0,4.0,4.0,3807.0,18.0,3.0,24.0,5.0,4.0,5.0,4506.0,5.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,-33.768528,150.9568559523945
41,44,London,4.0,4.0,4.0,4308.0,21.0,5.0,56.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,51.5073219,-0.1276474
42,45,Timisoara,3.9,4.0,3.0,1456.0,37.0,4.0,25.0,4.0,2.0,4.0,787.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,2.0,3.0,45.7538355,21.2257474
43,46,Zagreb,3.9,4.0,3.0,1839.0,18.0,3.0,16.0,5.0,2.0,4.0,1013.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,45.8131847,15.9771774
44,47,Stockholm,3.9,4.0,4.0,3673.0,37.0,4.0,9.0,4.0,4.0,4.0,4224.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,59.3251172,18.0710935
45,48,Sofia,3.9,4.0,3.0,1383.0,27.0,4.0,84.0,4.0,2.0,4.0,622.0,3.0,5.0,3.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,-15.2538402,48.2562163
46,49,Denver CO,3.9,4.0,4.0,3562.0,60.0,3.0,30.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,2.0,5.0,3.0,39.7348381,-104.9653271
47,50,Valencia,3.9,4.0,4.0,2505.0,33.0,4.0,50.0,5.0,3.0,4.0,2225.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,39.4697065,-0.3763353
48,52,Honolulu Hawaii,3.9,4.0,4.0,4607.0,40.0,5.0,14.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,21.304547,-157.855676
49,53,Melbourne,3.9,4.0,4.0,3195.0,23.0,5.0,25.0,5.0,4.0,5.0,4506.0,5.0,5.0,3.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,-37.8142176,144.9631608
50,54,Rio de Janeiro,3.9,4.0,3.0,1378.0,13.0,5.0,25.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,5.0,2.0,5.0,4.0,4.0,3.0,3.0,5.0,2.0,-22.9110137,-43.2093727
51,55,Seoul,3.9,4.0,3.0,2268.0,23.0,4.0,75.0,5.0,2.0,4.0,2315.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,37.5666791,126.9782914
52,56,Madrid,3.9,4.0,4.0,2970.0,32.0,5.0,57.0,5.0,3.0,4.0,2225.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,40.4167047,-3.7035825
53,57,Vancouver,3.9,4.0,4.0,3433.0,30.0,3.0,18.0,4.0,5.0,4.0,3513.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,49.2608724,-123.113952
54,58,Guadalajara,3.9,4.0,3.0,1119.0,12.0,3.0,70.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,2.0,3.0,5.0,2.0,20.6720375,-103.338396
55,59,Los Angeles CA,3.9,4.0,4.0,4550.0,56.0,5.0,56.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,34.0536909,-118.242766
56,60,Ljubljana,3.8,4.0,4.0,2176.0,48.0,3.0,17.0,4.0,4.0,4.0,1793.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,46.0499803,14.5068602
57,61,Amsterdam,3.8,4.0,4.0,4760.0,21.0,4.0,19.0,5.0,4.0,4.0,3813.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,5.0,3.0,52.3727598,4.8936041
58,62,Tallinn,3.8,4.0,4.0,2092.0,30.0,3.0,55.0,4.0,5.0,4.0,1482.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,59.4372155,24.7453688
59,63,Athens,3.8,4.0,4.0,2840.0,13.0,5.0,72.0,5.0,2.0,4.0,1436.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,37.9839412,23.7283052
60,64,Cluj,3.8,4.0,3.0,1872.0,34.0,4.0,8.0,4.0,2.0,4.0,787.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,2.0,3.0,46.769379,23.5899542
61,65,Munggu Bali,3.8,3.0,3.0,1513.0,14.0,3.0,8.0,5.0,4.0,3.0,298.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,2.0,-8.6212371,115.126168
62,66,Vilnius,3.8,4.0,3.0,2071.0,25.0,5.0,52.0,3.0,4.0,4.0,1226.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,3.0,2.0,3.0,54.6870458,25.2829111
63,67,Ko Samui,3.8,4.0,3.0,1303.0,17.0,3.0,52.0,4.0,3.0,3.0,493.0,2.0,2.0,2.0,4.0,4.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,9.50139445,99.99561927320003
64,68,Santiago,3.8,4.0,3.0,1365.0,14.0,2.0,27.0,4.0,4.0,4.0,1150.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,9.8694792,-83.7980749
65,69,Auckland,3.8,4.0,4.0,3398.0,23.0,3.0,34.0,5.0,5.0,5.0,3353.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,-36.852095,174.7631803
66,70,Wellington,3.8,4.0,4.0,2746.0,27.0,3.0,28.0,5.0,5.0,5.0,3353.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,-41.2887953,174.7772114
67,71,Ubud Bali,3.8,4.0,3.0,1798.0,12.0,3.0,28.0,5.0,4.0,3.0,298.0,2.0,5.0,2.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,-8.5724004,115.2599496
68,72,San Diego CA,3.8,4.0,4.0,4313.0,73.0,4.0,41.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,32.7174202,-117.1627728
69,73,Chicago IL,3.8,4.0,4.0,3681.0,38.0,4.0,40.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,41.8755616,-87.6244212
70,74,Brasov,3.8,3.0,3.0,1298.0,29.0,3.0,32.0,4.0,2.0,4.0,787.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,3.0,45.6523093,25.6102746
71,75,Johannesburg,3.7,4.0,3.0,1631.0,12.0,3.0,65.0,1.0,3.0,3.0,425.0,5.0,5.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,4.0,2.0,5.0,3.0,-26.205,28.049722
72,76,Paris,3.7,4.0,4.0,4090.0,32.0,4.0,57.0,4.0,3.0,4.0,3069.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,48.8588897,2.3200410217200766
73,77,Seminyak Bali,3.7,3.0,3.0,796.0,3.0,4.0,57.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,4.0,2.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,-8.680844,115.1604163
74,78,Pittsburgh PA,3.7,4.0,4.0,2095.0,72.0,4.0,39.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,40.4416941,-79.9900861
75,79,Munich,3.7,4.0,4.0,3793.0,28.0,5.0,19.0,5.0,4.0,4.0,3538.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,48.1371079,11.5753822
76,80,Minsk,3.7,4.0,3.0,1017.0,19.0,3.0,19.0,4.0,4.0,4.0,417.0,2.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,53.9024716,27.5618225
77,81,Dallas TX,3.7,4.0,4.0,3094.0,47.0,4.0,27.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,32.7762719,-96.7968559
78,82,Manila,3.7,3.0,3.0,1425.0,9.0,2.0,54.0,3.0,2.0,3.0,246.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,14.5907332,120.9809674
79,83,Quito,3.7,4.0,3.0,989.0,10.0,3.0,63.0,3.0,3.0,3.0,499.0,2.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,2.0,-0.2201641,-78.5123274
80,84,San Miguel de Allende,3.7,4.0,3.0,1371.0,17.0,3.0,31.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,5.0,2.0,3.0,5.0,2.0,20.9139025,-100.744012
81,85,Gdansk,3.7,4.0,3.0,1623.0,26.0,4.0,32.0,5.0,2.0,4.0,1028.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,4.0,4.0,3.0,3.0,54.36119285,18.62860883362069
82,86,Queretaro,3.7,4.0,3.0,859.0,11.0,4.0,32.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,2.0,3.0,5.0,3.0,5.0,2.0,3.0,5.0,2.0,20.5927744,-100.3902245
83,87,Hyderabad,3.7,3.0,3.0,720.0,24.0,2.0,85.0,4.0,2.0,2.0,142.0,3.0,5.0,2.0,2.0,3.0,2.0,5.0,2.0,4.0,3.0,3.0,2.0,3.0,17.360589,78.4740613
84,88,Willemstad,3.7,4.0,3.0,1913.0,15.0,5.0,36.0,4.0,3.0,2.0,1632.0,5.0,2.0,3.0,2.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,12.1066695,-68.9351307
85,89,Bansko,3.7,4.0,3.0,1409.0,31.0,5.0,24.0,4.0,2.0,4.0,622.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,41.8344086,23.4841698
86,90,Hilo Hawaii,3.7,4.0,4.0,3653.0,43.0,4.0,23.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,19.7073734,-155.0815803
87,91,Plovdiv,3.7,4.0,3.0,1416.0,31.0,3.0,29.0,4.0,2.0,4.0,622.0,3.0,5.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,42.1418541,24.7499297
88,92,Szczecin,3.7,3.0,3.0,1540.0,38.0,2.0,41.0,5.0,2.0,4.0,1028.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,3.0,53.4301818,14.5509623
89,93,Porto Alegre,3.7,4.0,3.0,853.0,13.0,5.0,41.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,3.0,2.0,5.0,2.0,4.0,3.0,2.0,5.0,2.0,-30.0324999,-51.2303767
90,94,Kuala Lumpur,3.7,4.0,3.0,1238.0,16.0,3.0,40.0,4.0,4.0,3.0,792.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,2.0,2.0,2.0,3.0,3.1516964,101.6942371
91,95,Washington DC,3.7,4.0,4.0,4879.0,67.0,4.0,23.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,38.8950368,-77.0365427
92,96,Braga,3.6,4.0,3.0,1602.0,29.0,3.0,82.0,5.0,3.0,3.0,1646.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,41.5510583,-8.4280045
93,97,Portland OR,3.6,4.0,4.0,3487.0,71.0,5.0,21.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,45.5202471,-122.6741949
94,98,Odessa,3.6,3.0,3.0,1071.0,33.0,2.0,17.0,4.0,2.0,4.0,175.0,2.0,5.0,3.0,2.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,46.4873195,30.7392776
95,99,El Gouna,3.6,4.0,3.0,2176.0,7.0,5.0,17.0,4.0,5.0,3.0,235.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,5.0,2.0,5.0,5.0,3.0,30.4275348,-9.293198
96,100,Queenstown,3.6,4.0,4.0,3518.0,30.0,4.0,17.0,5.0,3.0,5.0,3353.0,5.0,2.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,-45.0321923,168.661
97,101,Bratislava,3.6,4.0,3.0,1462.0,32.0,3.0,34.0,5.0,3.0,4.0,1374.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,3.0,5.0,4.0,2.0,3.0,48.1516988,17.1093063
98,102,Davao,3.6,3.0,3.0,1102.0,8.0,4.0,71.0,3.0,2.0,3.0,246.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,5.0,3.0,3.0,2.0,3.0,7.0645451,125.6084371
99,103,Lagos Algarve,3.3,3.0,2.0,1819.0,5.0,3.0,71.0,3.0,2.0,2.0,181.0,4.0,5.0,2.0,2.0,4.0,2.0,5.0,2.0,4.0,3.0,2.0,2.0,3.0,37.1027734,-8.6726941
100,104,Taghazout,3.6,3.0,3.0,1159.0,7.0,3.0,71.0,4.0,2.0,2.0,245.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,5.0,3.0,3.0,2.0,2.0,30.544722,-9.709128
101,105,San Francisco CA,3.6,4.0,4.0,6091.0,68.0,2.0,32.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,37.7790262,-122.419906
102,106,Riga,3.6,4.0,3.0,1981.0,20.0,3.0,97.0,4.0,4.0,4.0,1166.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,56.9493977,24.1051846
103,107,Ho Chi Minh City,3.6,4.0,3.0,964.0,15.0,5.0,69.0,4.0,2.0,2.0,181.0,2.0,5.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,10.7715512,106.6983801
104,109,Tirana,3.6,3.0,3.0,1224.0,12.0,2.0,92.0,4.0,2.0,3.0,338.0,2.0,5.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,41.3305141,19.825562857582966
105,110,Kansas City MO,3.6,4.0,4.0,2621.0,56.0,4.0,36.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,39.100105,-94.5781416
106,111,Puerto Vallarta,3.6,4.0,3.0,1725.0,24.0,3.0,36.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,2.0,3.0,5.0,2.0,5.0,2.0,3.0,5.0,2.0,20.6407176,-105.220306
107,112,Victoria,3.6,4.0,4.0,3292.0,25.0,2.0,27.0,4.0,5.0,4.0,3513.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,3.0,-36.5986096,144.6780052
108,113,Tokyo,3.6,4.0,3.0,3001.0,29.0,5.0,41.0,5.0,2.0,4.0,3220.0,2.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,35.6828387,139.7594549
109,114,Cebu,3.6,3.0,3.0,880.0,8.0,4.0,145.0,3.0,2.0,3.0,246.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,10.2931062,123.9020773
110,115,Las Vegas NV,3.6,4.0,4.0,3703.0,50.0,5.0,16.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,3.0,36.1672559,-115.148516
111,116,Corralejo Canary Islands,3.6,4.0,4.0,2364.0,44.0,5.0,25.0,5.0,3.0,4.0,2225.0,3.0,5.0,3.0,4.0,2.0,2.0,5.0,2.0,4.0,4.0,4.0,5.0,3.0,28.7307235,-13.8651907
112,117,Antalya,3.6,4.0,3.0,869.0,12.0,5.0,139.0,4.0,2.0,3.0,905.0,2.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,2.0,2.0,2.0,2.0,36.9009641,30.6954846
113,118,Lima,3.6,4.0,3.0,969.0,8.0,4.0,124.0,3.0,3.0,3.0,504.0,2.0,5.0,2.0,3.0,3.0,2.0,5.0,2.0,4.0,4.0,2.0,2.0,2.0,-12.0621065,-77.0365256
