city,rank,total_score,life_quality,family_score,cost,internet,fun,air,crime,racism,Education,income,speak_english,walkability,traffic_safety,happiness,nightlife,free_wifi,coworking_places,ac_heating,foreigner frendly,speech_freedom,female_frendly,lgbtq_plus_friendly,startup_score,lat,long,country,continent
Kearney NE,399,3.2,4.0,3.0,2980.0,42.0,3.0,39.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,40.4906216,-98.9472344, United States,north_america
Las Cruces NM,400,3.2,4.0,3.0,3152.0,39.0,3.0,20.0,4.0,5.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,32.3140354,-106.7798078, United States,north_america
Syracuse NY,401,3.2,3.0,3.0,3008.0,37.0,3.0,22.0,4.0,3.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,43.0481221,-76.1474244, United States,north_america
Nagpur,402,3.2,3.0,3.0,781.0,9.0,4.0,175.0,4.0,2.0,2.0,142.0,3.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,21.1498134,79.0820556, India,asia
Ipoh,403,3.2,3.0,2.0,1137.0,16.0,3.0,61.0,4.0,2.0,3.0,792.0,3.0,5.0,2.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,4.5986817,101.0900236, Malaysia,asia
Podgorica,404,3.2,3.0,3.0,1520.0,24.0,3.0,98.0,4.0,2.0,4.0,580.0,2.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,42.4415238,19.2621081, Montenegro,europe
Albuquerque NM,405,3.2,4.0,3.0,3369.0,39.0,4.0,26.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,35.0841034,-106.650985, United States,north_america
Palembang Sumatra,406,3.2,3.0,2.0,799.0,9.0,3.0,26.0,5.0,2.0,3.0,298.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,-2.9888297,104.756857, Indonesia,asia
Ocala FL,407,3.2,3.0,3.0,3012.0,46.0,3.0,31.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,5.0,3.0,29.1871986,-82.1400923, United States,north_america
Lansing MI,408,3.2,3.0,3.0,2893.0,46.0,3.0,33.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,5.0,3.0,42.7337712,-84.5553805, United States,north_america
Campinas,409,3.2,3.0,3.0,965.0,13.0,3.0,66.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,-22.90556,-47.06083, Brazil,south_america
Birmingham,410,3.2,4.0,4.0,3567.0,26.0,4.0,31.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,2.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,52.4796992,-1.9026911, United Kingdom,europe
Waco TX,411,3.2,3.0,3.0,3098.0,56.0,3.0,26.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,2.0,5.0,3.0,31.5520981,-97.114845, United States,north_america
Genoa,412,3.2,4.0,3.0,2590.0,18.0,4.0,46.0,5.0,2.0,4.0,2607.0,4.0,5.0,3.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,44.40726,8.9338624, Italy,europe
Semarang,413,3.2,3.0,2.0,751.0,9.0,2.0,46.0,5.0,4.0,3.0,298.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-6.9903988,110.4229104, Indonesia,asia
Charlotte NC,414,3.2,4.0,4.0,3168.0,39.0,3.0,21.0,4.0,3.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,35.2272086,-80.8430827, United States,north_america
Osaka,415,3.2,4.0,3.0,2213.0,26.0,3.0,43.0,5.0,2.0,4.0,3220.0,2.0,5.0,3.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,3.0,4.0,2.0,34.6198813,135.490357, Japan,asia
Ushuaia,416,3.2,3.0,3.0,1639.0,12.0,4.0,43.0,3.0,3.0,4.0,1037.0,3.0,5.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,5.0,2.0,-54.8061159,-68.3184972880496, Argentina,south_america
Cirebon,417,3.2,3.0,2.0,679.0,9.0,3.0,43.0,5.0,2.0,3.0,298.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,-6.7137044,108.5608483, Indonesia,asia
